stateName,abortionRate,homicideRate,drugOverdoses,suicideRate,teenPregnancyRate,
Alabama,0.1195992,14.2,22.3,16,24.8,
California,'NULL',6.1,21.8,10,11,
Florida,0.0211346,7.8,35,13.2,15.2,
Idaho,0.0822682,2.5,15.9,23.2,14.6,
Kentucky,0.0813168,9.5,49.2,17.7,23.8,
Maryland,'NULL',11.4,44.6,9.2,13.1,
Massachusetts,0.2644839,2.7,33.9,8.4,6.1,
New York,0.3890205,4.7,25.4,8,10,
Ohio,0.1703639,9.1,47.2,13.8,17.6,
South Dakota,0.0466917,6.5,10.3,21,18.7,
Texas,0.196514,7.6,14.1,13.3,22.4,
Washington,0.2240282,4.2,22,15.2,11.3,
